Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,JPM,19,2026-01-16T23:02:28Z,0000019617,OK
2,RRX,19,2026-01-16T21:43:37Z,0000082811,OK
3,OLP,17,2026-01-16T21:25:24Z,0000712770,OK
4,LEG,15,2026-01-16T22:07:53Z,0000058492,OK
5,WMT,13,2026-01-16T23:46:57Z,0000104169,OK
6,TPG,13,2026-01-16T01:55:21Z,0001880661,OK
7,FMC,12,2026-01-16T15:57:19Z,0000037785,OK
8,VEL,11,2026-01-16T19:51:20Z,0001692376,OK
9,NSPR,10,2026-01-16T23:12:00Z,0001433607,OK
10,DTST,10,2026-01-16T22:35:57Z,0001419951,OK
11,MS,10,2026-01-16T21:41:15Z,0000895421,OK
12,SF,10,2026-01-15T22:01:16Z,0000720672,OK
13,RBRK,9,2026-01-17T01:00:25Z,0001943896,OK
14,WTW,9,2026-01-16T22:41:47Z,0001140536,OK
15,GIFI,9,2026-01-16T21:46:45Z,0001031623,OK
16,MLKN,9,2026-01-16T21:16:16Z,0000066382,OK
17,PNFP,9,2026-01-16T21:07:07Z,0002082866,OK
18,NBTB,9,2026-01-16T21:02:53Z,0000790359,OK
19,CHH,9,2026-01-16T20:56:10Z,0001046311,OK
20,GEF,9,2026-01-16T19:55:11Z,0000043920,OK
21,VZ,9,2026-01-16T19:54:16Z,0000732712,OK
22,PPG,9,2026-01-16T17:56:59Z,0000079879,OK
23,NEWT,9,2026-01-16T14:51:42Z,0001587987,OK
24,BOKF,9,2026-01-15T23:10:00Z,0000875357,OK
25,BSM,9,2026-01-15T22:33:49Z,0001621434,OK
